Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,236.440002,237.470001,234.539993,237.470001,228.389420,3752800
2022-03-18,237.229996,239.190002,235.990005,238.919998,229.783966,5336500
2022-03-21,239.580002,240.089996,234.070007,235.320007,226.321655,3704000
2022-03-22,237.039993,238.440002,236.470001,238.119995,229.014557,2938100
2022-03-23,237.130005,238.009995,235.949997,236.119995,227.091049,2200500
2022-03-24,237.559998,241.039993,236.470001,240.259995,231.072708,2337500
2022-03-25,240.539993,241.850006,239.429993,241.580002,232.342285,2134800
2022-03-28,241.910004,242.949997,239.860001,242.940002,233.650269,2041800
2022-03-29,246.350006,248.649994,244.770004,248.169998,238.680252,2657400
2022-03-30,247.509995,250.500000,247.509995,249.029999,239.507385,2227300
2022-03-31,249.720001,251.350006,247.279999,247.279999,237.824295,3803400
2022-04-01,248.119995,249.429993,246.179993,249.250000,239.718964,2023000
2022-04-04,246.789993,247.270004,242.380005,246.830002,237.391510,2500700
2022-04-05,246.100006,249.740005,245.429993,248.509995,239.007278,2532500
2022-04-06,247.639999,252.380005,245.979996,251.460007,241.844467,2886000
2022-04-07,250.789993,255.479996,249.539993,254.360001,244.633560,4041800
2022-04-08,253.039993,255.070007,250.919998,251.460007,241.844467,2551000
2022-04-11,251.250000,252.940002,249.929993,250.449997,240.873093,2326700
2022-04-12,250.729996,252.289993,248.800003,249.169998,239.642029,2724900
2022-04-13,249.360001,251.660004,249.020004,251.330002,241.719452,2133800
2022-04-14,251.330002,253.729996,250.429993,250.509995,240.930786,2105900
2022-04-18,249.630005,252.490005,249.130005,251.059998,241.459747,1426600
2022-04-19,250.039993,255.960007,250.039993,255.399994,245.633789,2324500
2022-04-20,256.000000,257.790009,254.820007,255.850006,246.066605,2278700
2022-04-21,257.649994,259.609985,254.880005,255.250000,245.489532,2476900
2022-04-22,255.000000,255.000000,249.940002,250.169998,240.603775,2643600
2022-04-25,249.449997,253.130005,247.929993,252.880005,243.210159,2523000
2022-04-26,250.130005,252.410004,248.330002,248.580002,239.074600,2948500
2022-04-27,247.979996,250.970001,247.050003,247.139999,237.689651,2706500
2022-04-28,249.940002,256.380005,248.080002,254.190002,244.470062,3547400
2022-04-29,254.279999,254.850006,248.800003,249.160004,239.632401,3388000
2022-05-02,250.860001,251.550003,242.259995,246.639999,237.208771,3418700
2022-05-03,247.389999,247.839996,242.279999,245.869995,236.468201,2562000
2022-05-04,246.160004,254.779999,246.160004,254.320007,244.595108,3289300
2022-05-05,252.889999,254.490005,246.779999,248.919998,239.401581,2925900
2022-05-06,248.190002,252.449997,247.699997,250.779999,241.190445,2964500
2022-05-09,247.000000,249.899994,246.789993,247.490005,238.026276,2918900
2022-05-10,248.990005,250.880005,244.929993,245.679993,236.285477,3070800
2022-05-11,245.270004,246.789993,243.210007,244.429993,235.083282,2833200
2022-05-12,245.320007,246.380005,241.119995,244.190002,234.852463,2861000
2022-05-13,247.149994,247.179993,242.279999,245.039993,235.669968,3255200
2022-05-16,244.460007,245.479996,240.729996,244.039993,234.708191,2147100
2022-05-17,246.000000,247.000000,239.460007,241.630005,232.390350,3204900
2022-05-18,239.460007,240.080002,230.369995,231.050003,222.214920,3946100
2022-05-19,229.500000,232.149994,228.339996,229.000000,220.243286,3518300
2022-05-20,231.380005,234.059998,228.589996,233.910004,224.965561,3208200
2022-05-23,235.759995,238.889999,233.500000,238.000000,228.899155,3053500
2022-05-24,237.500000,245.800003,237.449997,244.520004,235.169830,5258200
2022-05-25,242.580002,245.699997,241.589996,244.009995,234.679337,2641700
2022-05-26,246.000000,249.330002,245.600006,248.089996,238.603317,1972300
2022-05-27,249.500000,251.869995,248.779999,251.869995,242.238754,2063800
2022-05-31,250.000000,254.279999,248.630005,252.210007,242.565781,3924700
2022-06-01,253.190002,253.419998,248.190002,249.279999,239.747818,2264100
2022-06-02,249.600006,250.440002,246.220001,250.380005,240.805786,2089700
